S10AC_HUMAN	S100A12
PTPRR_HUMAN	PTPRR
ITPR2_HUMAN	ITPR2
IFNA6_HUMAN	IFNA6
T2R46_HUMAN	TAS2R46
WDFY2_HUMAN	WDFY2
SON_HUMAN	SON
ZN709_HUMAN	ZNF709
UBP12_HUMAN	USP12
TRI63_HUMAN	TRIM63
PHLD_HUMAN	GPLD1
RFOX1_HUMAN	RBFOX1
RSLBB_HUMAN	RASL11B
RIT1_HUMAN	RIT1
ZMYM2_HUMAN	ZMYM2
RCBT2_HUMAN	RCBTB2
UGGG2_HUMAN	UGGT2
DGUOK_HUMAN	DGUOK
IL9R_HUMAN	IL9R
RPC7L_HUMAN	POLR3GL
CK054_HUMAN	C11orf54
GCNT3_HUMAN	GCNT3
SIM11_HUMAN	SMIM11
NCBP1_HUMAN	NCBP1
CNTP1_HUMAN	CNTNAP1
SWI5_HUMAN	SWI5
RNF26_HUMAN	RNF26
PTH2_HUMAN	PTRH2
KTNA1_HUMAN	KATNA1
AUGN_HUMAN	ECRG4
TRI22_HUMAN	TRIM22
PNOC_HUMAN	PNOC
ZYX_HUMAN	ZYX
TENN_HUMAN	TNN
DCE1_HUMAN	GAD1
CP4F3_HUMAN	CYP4F3
CEAM5_HUMAN	CEACAM5
ALS_HUMAN	IGFALS
MIF_HUMAN	MIF
ZHX3_HUMAN	ZHX3
CKLF2_HUMAN	CMTM2
TFDP1_HUMAN	TFDP1
TALAN_HUMAN	ZNF365
DHX36_HUMAN	DHX36
CCNY_HUMAN	CCNY
SORCN_HUMAN	SRI
PUS7_HUMAN	PUS7
PDILT_HUMAN	PDILT
SPIT1_HUMAN	SPINT1
GYS2_HUMAN	GYS2
UCK2_HUMAN	UCK2
ECH1_HUMAN	ECH1
GLD2_HUMAN	TENT2
LAS2_HUMAN	LAS2
MARE1_HUMAN	MAPRE1
IF4G1_HUMAN	EIF4G1
RFA3_HUMAN	RPA3
SP8_HUMAN	SP8
COQ3_HUMAN	COQ3
CTF8_HUMAN	CHTF8
BRE1A_HUMAN	RNF20
TP4A1_HUMAN	PTP4A1
IFIT1_HUMAN	IFIT1
DYDC2_HUMAN	DYDC2
TM1L1_HUMAN	TOM1L1
TMM44_HUMAN	TMEM44
AT2B4_HUMAN	ATP2B4
UNC5A_HUMAN	UNC5A
RT02_HUMAN	MRPS2
KDM4A_HUMAN	KDM4A
AF10_HUMAN	MLLT10
RCN2_HUMAN	RCN2
EFTS_HUMAN	TSFM
TS1R2_HUMAN	TAS1R2
ZN384_HUMAN	ZNF384
PTBP3_HUMAN	PTBP3
LDH6B_HUMAN	LDHAL6B
KCRU_HUMAN	CKMT1A
KCRU_HUMAN	CKMT1B
DHX35_HUMAN	DHX35
SSX4_HUMAN	SSX4
SSX4_HUMAN	SSX4B
ATX7_HUMAN	ATXN7
DLDH_HUMAN	DLD
SPTC3_HUMAN	SPTLC3
ZN521_HUMAN	ZNF521
ELP2_HUMAN	ELP2
DCBD1_HUMAN	DCBLD1
CAC1B_HUMAN	CACNA1B
OR1M1_HUMAN	OR1M1
HTAI2_HUMAN	HTATIP2
ZN558_HUMAN	ZNF558
SC5A1_HUMAN	SLC5A1
COKA1_HUMAN	COL20A1
HXA11_HUMAN	HOXA11
BL1S6_HUMAN	BLOC1S6
SARNP_HUMAN	SARNP
PEN2_HUMAN	PSENEN
UD2B4_HUMAN	UGT2B4
AN32A_HUMAN	ANP32A
SDC3_HUMAN	SDC3
CHST5_HUMAN	CHST5
